takeoff_name,site_guide_url
100 House,
A894 Hairpin,
Aberedw Hill,
Aberfoyle,
Abernant,
Abernethy,
Abertysswg,
Abington,
"Above The Pump, Snowdonia",
Achnasheen,
Afton,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Airways,
Alcock Tarn,
Alva,
Alvie,
An Liathanach,
An Soutar,
An Teallach,
Aonach Mor,
Arenig Fawr,https://www.snowdoniaskysports.co.uk/cms/node/19
Arreton,
Atherfield,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Bache,
Backbarrow,
Balladen,http://www.penninesoaringclub.org.uk/sites/balladen/
Ballard Down,
Balquhidder,
Balquhider,
Bank Hill,
Barf,
Barkin,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BKF
Barkin South,
Barton,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRF
Barton Fell,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRF
Barton On Sea,
Batcombe,
Beardown,
Beeftub,
Beer Head,
Being Na Caillich,
Beinn A Chaorainn,
Beinn A Muice,
Beinn Chrulaiste,
Beinn Clach An Fheadain,
Beinn Dorain,
Beinn Eighe,
Beinn Leabhainn,
Beinn Lutharn Bheag,
Beinn Na Feusaige,
Beinn Narnain,
Bell Hill,http://www.wessexhgpg.org.uk/Sites/SiteGuide/BellHill.pdf
Belstone,https://sdhgpc.org.uk/sites/belstone
Ben Dorain,
Ben Gulabin,
Ben Hiel,
Ben Lawers,
Ben Ledi,
Ben Luibhean,
Ben Nevis,
Ben Reid,
Ben Rinnes,
Ben Tirran,
Ben Toaig,
Ben Uarie,
Ben Vorlich,
Ben Wyvis,
Bewaldeth,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BWD
Bin Of Cullen,
Binsey,
Birks Hill,
Bishop,
Black Combe,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BCE
"Black Craig, Ayrshire",
Black Hill,
Blackers Hole,
Blackgang,
Blackmount,
Blaenavon,
Blaenplwyf,
Blease Fell,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BLF
Blencathra,
Blorenge,
Blua Scar,"Training site, contact Active Edge before flying https://www.activeedge.co.uk/"
Bo Peep,https://shgc.org.uk/siteguidepdf
Bodesbeck Law,http://www.wingbeat-paragliding.co.uk/index.php/sites/bodesbeck
Bossington,
Bowfell,
Bradwell,https://derbyshiresoaringclub.org.uk/site-guide/bradwell
Braemore Junction,
Branscombe,
Brantside,https://www.dhpc.org.uk/site-guide/brant-side
Bratton Camp,
Bridge Of Don,
Bridlington,
Brighstone,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Brigsteer,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRG
Broadlee Bank,https://derbyshiresoaringclub.org.uk/site-guide/broadlee-bank/
Broughton Heights,
Brownber Hill,
Bruthac Nan Uamh,
Bryn Banog,
Bryncaws,
Buck Of Cabrach,
Builth Wells,http://www.joomla.malvern-hang.org.uk/index.php/builth-wells
Bulbarrow,http://www.wessexhgpg.org.uk/Sites/SiteGuide/Bulbarrow.pdf
Bunster,https://www.paraguide.uk/guides/Bunster.pdf
Burger Van,
Burn Fell,
Burnbank,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNB
Burney,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNF
Butser West,http://skysurfingclub.co.uk/sites-guide/
Buttermere Moss,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BTM
Cacra,http://www.wingbeat-paragliding.co.uk/index.php/sites/cacra-bank
Cairn An Righ,
Cairn O Mount,
Cairn Vaich,
Cairngorm,
Cairnwell,
Camlo,
Campsie Fells,
Canford Cliffs,
Captain Cooks,
Cardon Hill,
Carlton Bank,
Carn Ban,
Carn Brea,
Carn Dubh,
Carn Ghluasaid,
Carn Liath,
Carn Moine,
Carn Nam Feuaich,
Carrock Fell,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CRF
Catacol,
Catbells,
Cats Tor,https://derbyshiresoaringclub.org.uk/site-guide/cats-tor/
Cautley Spout,
Chalton,
Charmouth,
Cherhill,
Chillerton,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Chinkwell Tor,https://sdhgpc.org.uk/sites/chinkwell
Chinnor,https://dunstablehpc.com/site-guides/chinnor-site-guide/
Choinneachain Hill,
Clatter,
Clough Head,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CLH
Clunbury,
Cocking Tor,https://derbyshiresoaringclub.org.uk/site-guide/cocking-tor/
Cockup,
Codden Hill,https://ndhpc.co.uk/sites_guide/codden_hill_guide
Coiliochbhar,
Coire Nan Cisteachan,
Combe Above Tebay,
Combe Gibbet,https://www.tvhgc.co.uk/combe-gibbet
Compton Reds,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Coniston Old Man,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=COM
Constitution Hill,
Coombe,
Corn Du,
Corn Ridge,https://sdhgpc.org.uk/sites/corn-ridge
Cornborough,https://ndhpc.co.uk/sites_guide/cornborough
Corndon,http://www.longmynd.org/?page_id=272
Corney Fell,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CNF
Corton Denham,
Countisbury,
Cow Close Fell,https://www.dhpc.org.uk/site-guide/cow-close-fell
Cowdown,
Cowlod,
Cragdale Moor,
Craig Chaorach,
Craig Hulich,
Craig Runavey,
Craigellachie,
Craiglich,
Craswall,
Creag An Earbaill,
Creag Dhubh,
Creag Dubh,
Creag Ghleannain,
Creag Meagaidh,
Creag Mhigeachaidh,
Creag Na Caillich,
Creag Nan Gabhar,
Creag Ruadh,
Creagan Gorm,
Crimdon,
Cross Fell,
Crovie,
Curbar,https://derbyshiresoaringclub.org.uk/site-guide/curbar/
Cwmafan,
Cwmbran,
Cyrniau,
Dale Head,https://derbyshiresoaringclub.org.uk/site-guide/dale-head/
Dalefoot,
Dalwhinnie,
Devils Dyke,https://shgc.org.uk/siteguidepdf
Devonshaw Hill,
Ditchling,https://shgc.org.uk/siteguidepdf
Dodd Fell,https://www.dhpc.org.uk/site-guide/dodd-fell-grove-head
Dollar,
Dragons Tail (Y Crib),
Drumochter,
Dungavel,
Dungiven,
Dunstable,https://dunstablehpc.com/site-guides/dunstable-downs-site-guide/
Durdle Door,
East Hill,
Ebbw Vale,
Ecton,
Edenfield,http://www.penninesoaringclub.org.uk/sites/edenfield/
Edge Top,
Eildon N Hill,https://www.wingbeat-paragliding.co.uk/index.php/sites/eildons
Elan Valley,
Elidir Fach,https://www.snowdoniaskysports.co.uk/cms/node/8
Ellerside,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ELS
Ennerdale,
Eyam,https://derbyshiresoaringclub.org.uk/site-guide/eyam-edge
Eype,
Fab Frynach,
Fairsnape,http://www.penninesoaringclub.org.uk/sites/parlick/
Fan Brycheiniog,
Fan Gyhirych,
